Posts,Mentions,Hashtags,Cashtags,URLs,Quoted_text,Punctuations,Punctuation_emphasis,All_caps,Negations,Time_expressions,Emojis
"@bob@infosec.exchange #Crypto €BMW ""Let’s go!"" https://t.co/xyz123 😀",['@bob@infosec.exchange'],['#Crypto'],['€BMW'],['https://t.co/xyz123'],"['""Let’s go!""']","['@', '@', '.', '#', '€', '""', '’', '!', '""', ':', '/', '/', '.', '/', '😀']",[],['BMW'],[],[],['😀']
#Startups 💡 $GOOG https://t.co/xyz123 @dave@mastodon.social 'Not sure about this',['@dave@mastodon.social'],['#Startups'],['$GOOG'],['https://t.co/xyz123'],"[""'Not sure about this'""]","['#', '💡', '$', ':', '/', '/', '.', '/', '@', '@', '.', ""'"", ""'""]",[],['GOOG'],['not'],[],['💡']
@bob@mastodon.social $AAPL 'This is amazing' 😀 #Crypto https://news.site/article,['@bob@mastodon.social'],['#Crypto'],['$AAPL'],['https://news.site/article'],"[""'This is amazing'""]","['@', '@', '.', '$', ""'"", ""'"", '😀', '#', ':', '/', '/', '.', '/']",[],['AAPL'],[],[],['😀']
"@dave@infosec.exchange ""Exciting times ahead!"" https://t.co/xyz123 €BMW #AI 😀",['@dave@infosec.exchange'],['#AI'],['€BMW'],['https://t.co/xyz123'],"['""Exciting times ahead!""']","['@', '@', '.', '""', '!', '""', ':', '/', '/', '.', '/', '€', '#', '😀']",[],"['BMW', 'AI']",[],['times'],['😀']
#AI @bob@mastodon.social €ETH 🚀 'Not sure about this' https://news.site/article,['@bob@mastodon.social'],['#AI'],['€ETH'],['https://news.site/article'],"[""'Not sure about this'""]","['#', '@', '@', '.', '€', '🚀', ""'"", ""'"", ':', '/', '/', '.', '/']",[],"['AI', 'ETH']",['not'],[],['🚀']
'This is amazing' €BMW https://t.co/xyz123 💡 #AI @dave,['@dave'],['#AI'],['€BMW'],['https://t.co/xyz123'],"[""'This is amazing'""]","[""'"", ""'"", '€', ':', '/', '/', '.', '/', '💡', '#', '@']",[],"['BMW', 'AI']",[],[],['💡']
'These days are amazing' #TechNews https://t.co/xyz123 €ETH 💡 @dave@techhub.org,['@dave@techhub.org'],['#TechNews'],['€ETH'],['https://t.co/xyz123'],"[""'These days are amazing'""]","[""'"", ""'"", '#', ':', '/', '/', '.', '/', '€', '💡', '@', '@', '.']",[],['ETH'],[],['days'],['💡']
"What a day today #AI $GOOG @bob@techhub.org 🚀 https://news.site/article""",['@bob@techhub.org'],['#AI'],['$GOOG'],"['https://news.site/article""']",[],"['#', '$', '@', '@', '.', '🚀', ':', '/', '/', '.', '/', '""']",[],"['AI', 'GOOG']",[],"['day', 'today']",['🚀']
"https://news.site/article #TechNews ""Exciting times ahead!"" @eve@mastodon.social 😀 $GOOG",['@eve@mastodon.social'],['#TechNews'],['$GOOG'],['https://news.site/article'],"['""Exciting times ahead!""']","[':', '/', '/', '.', '/', '#', '""', '!', '""', '@', '@', '.', '😀', '$']",[],['GOOG'],[],['times'],['😀']
"Let’s go! https://t.co/xyz123 @alice@mastodon.social $TSLA #AI 🔥""",['@alice@mastodon.social'],['#AI'],['$TSLA'],['https://t.co/xyz123'],[],"['’', '!', ':', '/', '/', '.', '/', '@', '@', '.', '$', '#', '🔥', '""']",[],"['TSLA', 'AI']",[],[],['🔥']
